YEAR T1,TEAM T1,SEED T1,KADJ O T1,KADJ D T1,KADJ EM T1,BARTHAG T1,WIN% T1,EXP T1,TALENT T1,ELITE SOS T1,KADJ T T1,BADJ T T1,TOV% T1,TOV%D T1,OREB% T1,DREB% T1,3PTR T1,3PT% T1,YEAR T2,TEAM T2,SEED T2,KADJ O T2,KADJ D T2,KADJ EM T2,BARTHAG T2,WIN% T2,EXP T2,TALENT T2,ELITE SOS T2,KADJ T T2,BADJ T T2,TOV% T2,TOV%D T2,OREB% T2,DREB% T2,3PTR T2,3PT% T2,WINNER
2025,Kansas,7,116.021,92.761,23.2603,0.927,63.63636,2.526,65.96,41.748,68.4297,68.297,16.7,15.6,30.4,72.5,34.3,35.2,2025,Arkansas,10,112.943,95.2503,17.6925,0.862,60.60606,1.364,74.808,36.561,69.4097,69.263,16.5,17.5,27.6,71.7,36.7,33.3,1
2025,Arkansas,10,112.943,95.2503,17.6925,0.862,60.60606,1.364,74.808,36.561,69.4097,69.263,16.5,17.5,27.6,71.7,36.7,33.3,2025,Kansas,7,116.021,92.761,23.2603,0.927,63.63636,2.526,65.96,41.748,68.4297,68.297,16.7,15.6,30.4,72.5,34.3,35.2,0
2025,St. John's,2,113.938,87.5628,26.3752,0.936,88.23529,2.12,64.078,27.94,70.1918,70.097,15.6,21.9,37.3,71.1,30.3,30.4,2025,Nebraska Omaha,15,111.099,110.588,0.511031,0.596,62.5,2.432,0.2,13.045,67.7809,67.694,15.7,14.9,29.2,74.6,38.6,36.7,0
2025,Nebraska Omaha,15,111.099,110.588,0.511031,0.596,62.5,2.432,0.2,13.045,67.7809,67.694,15.7,14.9,29.2,74.6,38.6,36.7,2025,St. John's,2,113.938,87.5628,26.3752,0.936,88.23529,2.12,64.078,27.94,70.1918,70.097,15.6,21.9,37.3,71.1,30.3,30.4,1
2025,Duke,1,127.999,89.847,38.1518,0.981,91.17647,0.968,80.734,30.63,65.803,65.706,14.4,17.7,35.2,73.5,45.4,37.7,2025,Mount St. Mary's,16,100.191,106.864,-6.67224,0.29,63.63636,2.013,0.853,8.934,67.4378,67.317,21.7,15.9,31.1,71.7,41.0,34.9,0
2025,Mount St. Mary's,16,100.191,106.864,-6.67224,0.29,63.63636,2.013,0.853,8.934,67.4378,67.317,21.7,15.9,31.1,71.7,41.0,34.9,2025,Duke,1,127.999,89.847,38.1518,0.981,91.17647,0.968,80.734,30.63,65.803,65.706,14.4,17.7,35.2,73.5,45.4,37.7,1
2025,Mississippi St.,8,118.786,98.6992,20.0867,0.889,63.63636,2.053,58.075,38.324,68.2016,67.963,15.1,19.0,34.1,70.5,42.3,31.4,2025,Baylor,9,120.886,99.7268,21.1589,0.903,56.25,1.871,56.146,42.981,64.5974,64.62,16.1,18.8,35.6,68.8,40.2,34.7,1
2025,Baylor,9,120.886,99.7268,21.1589,0.903,56.25,1.871,56.146,42.981,64.5974,64.62,16.1,18.8,35.6,68.8,40.2,34.7,2025,Mississippi St.,8,118.786,98.6992,20.0867,0.889,63.63636,2.053,58.075,38.324,68.2016,67.963,15.1,19.0,34.1,70.5,42.3,31.4,0
2025,Oregon,5,116.643,96.4943,20.149,0.874,72.72727,2.452,60.009,35.999,67.673,67.652,16.2,17.6,30.6,70.8,38.6,34.0,2025,Liberty,12,112.496,98.9632,13.5325,0.831,80.64516,2.265,2.365,13.412,65.3931,65.369,15.3,16.9,18.9,72.0,47.7,39.5,0
2025,Liberty,12,112.496,98.9632,13.5325,0.831,80.64516,2.265,2.365,13.412,65.3931,65.369,15.3,16.9,18.9,72.0,47.7,39.5,2025,Oregon,5,116.643,96.4943,20.149,0.874,72.72727,2.452,60.009,35.999,67.673,67.652,16.2,17.6,30.6,70.8,38.6,34.0,1
2025,Arizona,4,122.567,96.8244,25.7423,0.947,64.70588,1.92,66.268,44.259,69.9324,69.862,16.2,16.6,35.9,71.5,34.6,32.4,2025,Akron,13,113.749,107.176,6.57261,0.672,81.25,2.383,16.228,9.759,71.4456,71.176,16.6,17.2,33.3,71.0,45.4,36.6,0
2025,Akron,13,113.749,107.176,6.57261,0.672,81.25,2.383,16.228,9.759,71.4456,71.176,16.6,17.2,33.3,71.0,45.4,36.6,2025,Arizona,4,122.567,96.8244,25.7423,0.947,64.70588,1.92,66.268,44.259,69.9324,69.862,16.2,16.6,35.9,71.5,34.6,32.4,1
2025,BYU,6,123.05,100.654,22.3965,0.938,72.72727,1.889,35.971,35.191,67.3028,67.2,17.6,17.2,33.3,73.9,48.3,37.1,2025,VCU,11,116.251,95.5473,20.7041,0.9,81.81818,2.233,34.315,16.375,66.1584,66.134,16.8,20.6,36.7,70.0,47.4,33.5,0
2025,VCU,11,116.251,95.5473,20.7041,0.9,81.81818,2.233,34.315,16.375,66.1584,66.134,16.8,20.6,36.7,70.0,47.4,33.5,2025,BYU,6,123.05,100.654,22.3965,0.938,72.72727,1.889,35.971,35.191,67.3028,67.2,17.6,17.2,33.3,73.9,48.3,37.1,1
2025,Wisconsin,3,123.276,96.8339,26.4425,0.942,74.28571,2.223,24.761,35.559,67.7504,67.473,14.1,14.5,28.0,73.4,48.1,34.9,2025,Montana,14,110.837,110.443,0.39472,0.578,70.96774,2.148,0.2,15.101,67.1057,66.985,16.2,15.5,22.6,71.0,36.8,36.5,0
2025,Montana,14,110.837,110.443,0.39472,0.578,70.96774,2.148,0.2,15.101,67.1057,66.985,16.2,15.5,22.6,71.0,36.8,36.5,2025,Wisconsin,3,123.276,96.8339,26.4425,0.942,74.28571,2.223,24.761,35.559,67.7504,67.473,14.1,14.5,28.0,73.4,48.1,34.9,1
2025,Saint Mary's,7,115.324,92.2318,23.0917,0.922,84.375,1.982,48.461,22.682,61.7537,61.767,15.1,16.6,40.5,75.1,33.4,32.6,2025,Vanderbilt,10,118.017,101.854,16.1626,0.862,62.5,1.973,36.79,35.986,69.5281,69.566,14.7,20.0,32.2,70.3,40.2,32.5,0
2025,Vanderbilt,10,118.017,101.854,16.1626,0.862,62.5,1.973,36.79,35.986,69.5281,69.566,14.7,20.0,32.2,70.3,40.2,32.5,2025,Saint Mary's,7,115.324,92.2318,23.0917,0.922,84.375,1.982,48.461,22.682,61.7537,61.767,15.1,16.6,40.5,75.1,33.4,32.6,1
2025,Alabama,2,126.598,96.6919,29.9064,0.962,75.75758,1.819,58.572,46.471,74.9404,74.645,16.7,13.5,34.7,70.8,46.2,35.0,2025,Robert Morris,15,107.033,104.951,2.08242,0.524,75.75758,1.898,0.2,8.247,67.8393,67.899,18.5,18.8,35.3,71.7,36.8,34.9,0
